Incident Code,Incident Description
1000,"Weapon, Concealed, Loitering While Carrying"
1001,"Cloned Cellular Phone, Use"
1002,Suicide By Asphyxiation
1003,"Rape, Assault To, W/ Gun"
1004,Wearing Mask or Disguise for Unlawful Purpose
1005,Kidnapping for Ransom or Extortion
1007,"Stolen Access Card, Possession"
1062,Loitering for Purpose of Prostitution
1133,"Vehicle, Seizure Order"
1160,Post Release Community Supervision
2001,Soliciting Customer to Purchase Alcoholic Beverage
2002,"Embezzlement, Petty Theft, Leased Property"
2003,"Theft, By Prostitute, <$50"
2004,"Extortion, Attempted"
2005,"Rail Transit, Entering, Remaining, or Hindering Operation of"
2020,"Auto, Grand Theft of"
2101,"Burglary, Safe, Warehouse, with Explosives"
2102,"Burglary, Warehouse Under Constr, Unlawful Entry"
2103,"Telephone or Telegraph Messages, Altering"
2104,"Access Card or Signature, Forgery of"
2201,Trespass within 30 days of Credible Threat
2202,"Citizenship Document, Using False"
2204,Sales of Cocaine Base/Schoolyard Trafficking Act Violation
3011,"Robbery, Street or Public Place, W/ Gun"
3012,False Report of Emergency
3013,Theft of Computers or Cell Phones
3014,"Dog, Bite or Attack"
3021,"Controlled Substance, Sale"
3022,"Animal, Cruelty to"
3023,"Theft, Coin Operated Machine, Att."
3024,"Theft, Other Property, <$50"
3031,"Alcohol, Unlawful Transportation Of"
3032,"Robbery, Bank, W/ Other Weapon"
3033,"Burglary, Safe, Other"
3034,"Hallucinogenic, Sale"
3041,"Robbery, W/ Knife"
3042,"Burglary, Flat Under Constr., Forcible Entry"
3043,"Theft, From Unlocked Vehicle, Att."
3044,"Battery, Sexual"
3051,"Firearm, Discharging At An Inhabited Dwelling"
3052,"Theft, Drunk Roll, Att."
3053,"Phone Calls, Threatening or Annoying"
3054,"Theft, Bicycle, >$950"
3061,"Weapon, Assault, Registration or Transfer Violation"
3062,SFMTA Parking and Control Officer
3063,Barbiturates Offense
3064,"Burglary, Hotel Under Constr., Unlawful Entry"
3071,"Theft, From Person, <$50 (other than Pickpocket)"
3072,Missing Adult
3073,"Theft, Pickpocket, <$50"
3074,"Robbery, W/ Force"
3081,"Theft, Pickpocket, $200-$950"
3082,"Firearm, Discharging at Unoccupied Bldg, Vehicle or Aircraft"
3083,"Theft, Lost Property, Grand"
3084,"Robbery, Att., Chain Store, W/ Other Weapon"
3091,"Burglary, Other Bldg. Under Constr., Unlawful Entry"
3092,"Vehicle Alarm Code Grabbing Device, Possess or Use"
3093,"Civil Rights, incl. Injury, Threat, or Damage (Hate Crimes)"
3094,Heroin Offense
3401,"Drugs, Under Influence  in a Public Place"
3411,"Robbery, Att., W/ Other Weapon"
3412,"Flammable or Explosive Device, Possession"
3413,"EPO or Restraining Order Violation, DVU related"
3414,"Phone Calls, Threatening"
3421,"Disturbing The Peace, Fighting"
3422,"Privacy, Invasion of  (general)"
3423,"Theft, Shoplifting, Att."
3424,"Trash, Placing On The Street"
3431,"Gambling Devices, Possession"
3432,Service of Documents Related to a Civil Drug Abatement and/or Public Nuisance Action
3433,Megan's Law Notification
3434,Threat to State Official or Judge
3441,"Public Transit, Acts Against"
3442,"Robbery, Residence, W/ Knife"
3443,"Assault, Att. Homicide, W/ Knife"
3444,"Checks, Money Orders, Completed, Fraudulent Possession"
3451,Carjacking with a Knife
3452,"Robbery, Att., Service Station W/ Force"
